,feature name,rank
212,CTDD_hydrophobicity_PRAM900101.1.residue75,613
3722,Z5__51,613
375,CTDD_secondarystruct.1.residue25,615
3673,Z5__2,616
178,CTDC_hydrophobicity_ZIMJ680101.G3,617
123,CKSAAGP_alphaticr.negativecharger.gap4,618
3584,Ez__10,619
24,CKSAAGP_alphaticr.uncharger.gap0,621
403,CTDD_solventaccess.3.residue100,621
54,CKSAAGP_aromatic.uncharger.gap1,621
3399,QSO3_SC_E,623
853,DDE_LA,625
442,CTDT_solventaccess.Tr2332,625
3522,ABHPRK__85,625
40,CKSAAGP_uncharger.alphaticr.gap0,625
3462,ABHPRK__18,628
321,CTDD_normwaalsvolume.2.residue50,628
3565,Cougar__21,630
673,DDE_AA,630
821,DDE_IK,633
3327,DDR_S,633
228,CTDD_hydrophobicity_ARGP820101.1.residue100,633
1846,Geary_CHAM820101.lag2,635
3402,QSO3_SC_I,636
429,CTDT_polarity.Tr1331,637
3613,MSW__5,638
49,CKSAAGP_alphaticr.uncharger.gap1,639
353,CTDD_polarizability.2.residue100,640
335,CTDD_polarity.2.residue25,641
181,CTDC_hydrophobicity_PONP930101.G3,641
372,CTDD_charge.3.residue75,643
160,CKSAAGP_negativecharger.alphaticr.gap5,644
175,CTDC_hydrophobicity_ARGP820101.G3,645
7,AAC_G,646
3677,Z5__6,647
3308,PAAC_Xc1.V,648
1895,NMBroto_CHAM820101.lag3,649
319,CTDD_normwaalsvolume.2.residue0,650
744,DDE_EN,651
349,CTDD_polarizability.2.residue0,651
1819,APAAC_Pc1.E,653
219,CTDD_hydrophobicity_PRAM900101.3.residue0,655
377,CTDD_secondarystruct.1.residue75,655
364,CTDD_charge.2.residue0,655
222,CTDD_hydrophobicity_PRAM900101.3.residue75,657
433,CTDT_polarizability.Tr2332,658
119,CKSAAGP_uncharger.uncharger.gap3,659
95,CKSAAGP_alphaticr.alphaticr.gap3,660
183,CTDC_hydrophobicity_CASG920101.G2,663
274,CTDD_hydrophobicity_CASG920101.2.residue0,663
25,CKSAAGP_aromatic.alphaticr.gap0,663
235,CTDD_hydrophobicity_ARGP820101.3.residue25,663
913,DDE_PA,663
378,CTDD_secondarystruct.1.residue100,663
248,CTDD_hydrophobicity_ZIMJ680101.2.residue100,667
223,CTDD_hydrophobicity_PRAM900101.3.residue100,668
147,CKSAAGP_alphaticr.postivecharger.gap5,669
3483,ABHPRK__42,670
3409,QSO3_SC_T,671
3497,ABHPRK__58,671
3295,PAAC_Xc1.E,673
255,CTDD_hydrophobicity_PONP930101.1.residue25,674
94,CKSAAGP_uncharger.uncharger.gap2,675
241,CTDD_hydrophobicity_ZIMJ680101.1.residue50,676
283,CTDD_hydrophobicity_CASG920101.3.residue100,677
391,CTDD_solventaccess.1.residue50,678
3517,ABHPRK__80,679
29,CKSAAGP_aromatic.uncharger.gap0,680
0,AAC_A,681
89,CKSAAGP_negativecharger.uncharger.gap2,682
217,CTDD_hydrophobicity_PRAM900101.2.residue75,682
180,CTDC_hydrophobicity_PONP930101.G2,684
3555,Cougar__11,684
230,CTDD_hydrophobicity_ARGP820101.2.residue25,686
3317,DDR_Q,686
3291,PAAC_Xc1.N,688
3805,OVP_Small_N4,691
1027,DDE_VR,691
729,DDE_DT,691
2,AAC_N,691
379,CTDD_secondarystruct.2.residue0,691
361,CTDD_charge.1.residue50,694
92,CKSAAGP_uncharger.postivecharger.gap2,695
220,CTDD_hydrophobicity_PRAM900101.3.residue25,696
3504,ABHPRK__66,697
1478,GTPC_alphaticr.uncharger.alphaticr,698
60,CKSAAGP_negativecharger.alphaticr.gap1,698
59,CKSAAGP_postivecharger.uncharger.gap1,700
3406,QSO3_SC_F,701
3583,Ez__9,702
3604,Ez__30,703
3303,PAAC_Xc1.P,703
1814,APAAC_Pc1.R,705
275,CTDD_hydrophobicity_CASG920101.2.residue25,706
65,CKSAAGP_uncharger.alphaticr.gap1,708
245,CTDD_hydrophobicity_ZIMJ680101.2.residue25,708
3412,QSO3_SC_V,708
91,CKSAAGP_uncharger.aromatic.gap2,710
1831,APAAC_Pc1.Y,711
434,CTDT_charge.Tr1221,711
3445,Hydrophobic,713
3557,Cougar__13,714
3600,Ez__26,715
48,CKSAAGP_alphaticr.negativecharger.gap1,715
3750,formula_O,717
1578,GTPC_uncharger.uncharger.alphaticr,718
907,DDE_NR,719
3845,OVP_Small_C4,719
272,CTDD_hydrophobicity_CASG920101.1.residue75,721
830,DDE_IV,722
191,CTDC_normwaalsvolume.G1,723
110,CKSAAGP_negativecharger.alphaticr.gap3,724
325,CTDD_normwaalsvolume.3.residue25,725
3516,ABHPRK__79,726
312,CTDD_hydrophobicity_FASG890101.3.residue75,727
188,CTDC_hydrophobicity_FASG890101.G1,728
169,CKSAAGP_uncharger.uncharger.gap5,729
185,CTDC_hydrophobicity_ENGD860101.G1,730
298,CTDD_hydrophobicity_ENGD860101.3.residue100,731
74,CKSAAGP_alphaticr.uncharger.gap2,732
3780,OVP_Polar_N2,733
3762,OVPC_Aliphatic,733
436,CTDT_charge.Tr2332,735
370,CTDD_charge.3.residue25,736
313,CTDD_hydrophobicity_FASG890101.3.residue100,736
324,CTDD_normwaalsvolume.3.residue0,738
115,CKSAAGP_uncharger.alphaticr.gap3,739
182,CTDC_hydrophobicity_CASG920101.G1,739
400,CTDD_solventaccess.3.residue25,741
253,CTDD_hydrophobicity_ZIMJ680101.3.residue100,741
1429,GAAC_aromatic,743
309,CTDD_hydrophobicity_FASG890101.3.residue0,744
1458,GTPC_alphaticr.alphaticr.alphaticr,745
72,CKSAAGP_alphaticr.postivecharger.gap2,746
3480,ABHPRK__39,747
15,AAC_S,748
229,CTDD_hydrophobicity_ARGP820101.2.residue0,749
3804,OVP_Charged_N4,749
3752,Boman_Index,751
3499,ABHPRK__60,752
3795,OVP_Small_N3,753
6,AAC_E,754
768,DDE_FS,754
3821,OVP_Hydrophobic_C2,756
170,CTDC_hydrophobicity_PRAM900101.G1,757
122,CKSAAGP_alphaticr.postivecharger.gap4,758
371,CTDD_charge.3.residue50,759
385,CTDD_secondarystruct.3.residue25,760
